SWAN	1
$ east_NONSTAT_stationary.dat boundary
LONLAT
	30
	-0.020000	59.440000
	-0.020000	59.080000
	-0.020000	58.720000
	-0.020000	58.360000
	-0.020000	58.000000
	-0.020000	57.640000
	-0.020000	57.280000
	-0.020000	56.920000
	-0.020000	56.560000
	-0.020000	56.200000
	-0.020000	55.840000
	-0.020000	55.480000
	-0.020000	55.120000
	-0.020000	54.760000
	-0.020000	54.400000
	-0.020000	54.040000
	-0.020000	53.680000
	-0.020000	53.320000
	-0.020000	52.960000
	-0.020000	52.600000
	-0.020000	52.240000
	-0.020000	51.880000
	-0.020000	51.520000
	-0.020000	51.160000
	-0.020000	50.800000
	-0.020000	50.440000
	-0.020000	50.080000
	-0.020000	49.720000
	-0.020000	49.360000
	-0.020000	49.000000
RFREQ
	30
	0.034523
	0.037975
	0.041772
	0.045950
	0.050545
	0.055599
	0.061159
	0.067275
	0.074002
	0.081403
	0.089543
	0.098497
	0.108347
	0.119182
	0.131100
	0.144210
	0.158631
	0.174494
	0.191943
	0.211138
	0.232252
	0.255477
	0.281024
	0.309127
	0.340039
	0.374043
	0.411448
	0.452593
	0.497852
	0.547637
NDIR
	24
	7.500000
	22.500000
	37.500000
	52.500000
	67.500000
	82.500000
	97.500000
	112.500000
	127.500000
	142.500000
	157.500000
	172.500000
	187.500000
	202.500000
	217.500000
	232.500000
	247.500000
	262.500000
	277.500000
	292.500000
	307.500000
	322.500000
	337.500000
	352.500000
QUANT
	1
VaDens
m2/(Hz*degr)
	-9999.000000
FACTOR
	1E-06
	          0           0  0.00527464  0.00642458           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
