SWAN	1
$ south_NONSTAT_stationary.dat boundary
LONLAT
	44
	-15.500000	49.000000
	-15.140000	49.000000
	-14.780000	49.000000
	-14.420000	49.000000
	-14.060000	49.000000
	-13.700000	49.000000
	-13.340000	49.000000
	-12.980000	49.000000
	-12.620000	49.000000
	-12.260000	49.000000
	-11.900000	49.000000
	-11.540000	49.000000
	-11.180000	49.000000
	-10.820000	49.000000
	-10.460000	49.000000
	-10.100000	49.000000
	-9.740000	49.000000
	-9.380000	49.000000
	-9.020000	49.000000
	-8.660000	49.000000
	-8.300000	49.000000
	-7.940000	49.000000
	-7.580000	49.000000
	-7.220000	49.000000
	-6.860000	49.000000
	-6.500000	49.000000
	-6.140000	49.000000
	-5.780000	49.000000
	-5.420000	49.000000
	-5.060000	49.000000
	-4.700000	49.000000
	-4.340000	49.000000
	-3.980000	49.000000
	-3.620000	49.000000
	-3.260000	49.000000
	-2.900000	49.000000
	-2.540000	49.000000
	-2.180000	49.000000
	-1.820000	49.000000
	-1.460000	49.000000
	-1.100000	49.000000
	-0.740000	49.000000
	-0.380000	49.000000
	-0.020000	49.000000
RFREQ
	30
	0.034523
	0.037975
	0.041772
	0.045950
	0.050545
	0.055599
	0.061159
	0.067275
	0.074002
	0.081403
	0.089543
	0.098497
	0.108347
	0.119182
	0.131100
	0.144210
	0.158631
	0.174494
	0.191943
	0.211138
	0.232252
	0.255477
	0.281024
	0.309127
	0.340039
	0.374043
	0.411448
	0.452593
	0.497852
	0.547637
NDIR
	24
	7.500000
	22.500000
	37.500000
	52.500000
	67.500000
	82.500000
	97.500000
	112.500000
	127.500000
	142.500000
	157.500000
	172.500000
	187.500000
	202.500000
	217.500000
	232.500000
	247.500000
	262.500000
	277.500000
	292.500000
	307.500000
	322.500000
	337.500000
	352.500000
QUANT
	1
VaDens
m2/(Hz*degr)
	-9999.000000
FACTOR
	1E-06
	          0   0.0154786   0.0169826   0.0172795           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0     28.8906           0           0           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0     84.9997           0           0           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0     241.309     31.0556           0           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0     1360.46     321.771     53.2436           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0     2328.63     736.426     151.167           0           0           0           0           0           0           0           0           0
	          0           0           0           0           0           0           0           0           0           0           0           0     2788.65      821.45     156.782           0           0           0           0       38.53     151.153      135.68      47.807           0
